     100 files     200 files     300 files     310 text files.
classified 310 filesDuplicate file check 310 files (263 known unique)Unique:      100 files                                          Unique:      200 files                                               303 unique files.                              
Counting:  100Counting:  200Counting:  300      17 files ignored.

http://cloc.sourceforge.net v 1.62  T=17.98 s (16.0 files/s, 711.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------
App/Core/Base/View/XPBaseReactiveView.h                                                                           5              9              5
App/Modules/ComplaintModule/NetWork/NSString+XPAPI_Complaint.h                                                    4             13              5
App/Modules/PropertyBillModule/ViewController/XPPropertyBillViewController.h                                      4              7              5
App/Modules/MaintenanceModule/ViewController/XPDetailMyMaintenanceViewController.h                                5              7              5
App/Modules/MaintenanceModule/NetWork/NSString+XPAPIPath_Maintenance.h                                            5              7              5
App/Modules/NeighborhoodModule/View/XPCommonTableViewCell.h                                                       4              7              5
App/Modules/VoteModule/NetWork/XPAPIManager+Vote.h                                                                5              7              5
App/Core/Category/UIApplication+RACSignal.h                                                                       4              7              5
App/Modules/VoteModule/ViewController/XPToVoteInDetailsViewController.h                                           5              7              5
App/Modules/LaunchModule/View/XPLaunchView.h                                                                      4              7              5
App/Modules/CommunityAnnouncementModule/View/XPCommnityTableViewCell.h                                            4              7              5
App/Core/Category/UIView+HESizeHeight.h                                                                           5             25              5
App/Modules/SecondHandModule/View/SecondHandPostOfDetail/XPSecondHandDetailOfUserCell.h                           4              7              5
App/Modules/ForumModule/ViewModel/XPForumViewModel.h                                                              4              7              5
App/Modules/ComplaintModule/NetWork/XPAPIManager+Complaint.h                                                      5              7              5
App/Help/WechatAddImage/XPAddImageView.h                                                                          4              7              5
App/Modules/MaintenanceModule/NetWork/XPAPIManager+Maintenance.h                                                  6             10              5
App/Modules/TopicModule/XPDetailPostViewController.h                                                              6              7              5
App/Core/Base/View/XPBaseNavigationBar.h                                                                          5             11              5
App/Modules/MaintenanceModule/View/XPMyMaintenanceTableViewCell.h                                                 4              7              5
App/Modules/CommunityAnnouncementModule/ViewController/XPDetailAnnounceViewController.h                           3              8              5
App/Modules/TopicModule/NetWork/XPAPIManager+CreatePost.h                                                         9              7              5
App/Modules/NeighborhoodModule/XPExtraModel.m                                                                     8              7              5
App/Modules/SecondHandModule/View/TransferOrBuyCell/XPTransferOrBuyOfSelectImageCell.h                            5              7              5
App/Modules/ComplaintModule/ViewController/XPDetailViewController.h                                               4              7              5
App/Modules/HouseholdModule/ViewModel/XPHouseholdViewModel.h                                                      6              7              5
App/Modules/VoteModule/NetWork/NSString+XPAPIPath_Vote.h                                                          5              7              5
App/Core/Base/View/XPBaseTableViewCell.h                                                                          3              7              5
App/Modules/NeighborhoodModule/View/XPVoteTableViewCell.h                                                         4              7              5
App/Modules/TopicModule/XPDetailTitleTableViewCell.h                                                              4              7              5
App/Modules/TopicModule/NetWork/NSString+XPAPIPath_CreatePost.h                                                   6              7              5
App/Modules/TopicModule/XPDetailContentTableViewCell.h                                                            4              7              5
App/Modules/SecondHandModule/View/SecondHandPostOfDetail/XPSecondHandDetailOfDescriptionCell.h                    4              7              5
App/Modules/NeighborhoodModule/View/XPActivityTableViewCell.h                                                     3              7              5
App/Core/Network/NSDictionary+XPAPIUserInfo.h                                                                     4              7              4
App/Modules/CommunityAnnouncementModule/NetWork/XPAPIManager+Announcement.h                                       4             10              4
App/Modules/MeModule/ViewController/XPMeViewController.h                                                          3              7              4
App/Help/DetailImageShow/XPDetailImageShowView.h                                                                  4              7              4
App/Core/Category/UITableViewCell+XPSuperView.h                                                                   4              7              4
App/Core/Network/XPAPIManager+Analysis.h                                                                          6             23              4
App/Modules/LoginModule/Model/XPUser.h                                                                            4             10              4
App/Help/WechatAddImage/UIImage+XPCompress.h                                                                      4              7              4
App/Modules/SecondHandModule/ViewController/XPSecondHandOfPostDetailViewController.h                              5              7              4
App/Modules/ComplaintModule/View/XPComplaintTableViewCell.h                                                       4              7              4
App/Core/Category/UIView+XPNib.h                                                                                  4              7              4
App/Core/Network/NSDictionary+XPAPIVerifyKey.h                                                                    4             12              4
App/Modules/NeighborhoodModule/NetWork/NSString+XPAPIPath_Topic.h                                                 3              7              4
